original_text,simplified_text,target_level,predicted_level
Однажды он услышал истории об одном богатом и таинственном человеке по имени Морис Кончис.,Однажды он услышал историю о богатом и таинственном человеке по имени Морис Кончис.,B1,A1
"Преодолевая боль, святой отец твердо сказал:","Преодолевая боль, святой отец твердо сказал.",C1,B1
"Если б они оба знали один про другого, чем они особенно в эту минуту замечательны, то, конечно, подивились бы, что случай так странно посадил их друг против друга в третьеклассном вагоне петербургско-варшавского поезда.","Если бы они оба знали друг о друге, то, конечно, подивились бы, что случай так странно посадил их друг против друга в третьеклассном вагоне петербургско-варшавского поезда.",C2,B2
"Вдруг, неожиданно для себя, обернулся Барыба и, стиснув челюсти, запустил глубоко руки в мягкое что-то, как тесто.","Барыба обернулся и запустил руки в мягкое что-то, как тесто.",A2,C1
"Он знал, что ему поможет его понимание человеческих чувств.","Он знал, что его понимание человеческих чувств поможет ему.",C1,A1
Я всё время думаю о тебе.,Я всегда думаю о тебе.,C2,A1
После завтрака Сюзи собиралась в школу.,После завтрака она собиралась в школу.,B1,A1
"А влюблённые говорят тихо, потому что их сердца находятся очень близко.","А влюблённые говорят тихо, потому что их сердца находятся очень близко.",C2,A2
"Туман в голове Кембла разбредался, по наезженному шоссе грузовик тащил кладь уверенно и быстро.","Туман в голове Кембла разбредался, грузовик тащил кладь уверенно и быстро по наезженному шоссе.",B2,C1
я понемногу все время…,Я понемногу все время.,A2,B2
"«Ну, уж это совсем не умно, — подумал он. — При чём тут кладбище? ","«Ну, это совсем не умно», — подумал он.",C1,B1
"Борн был в черных купальных панталонах, Смис – в голубых.","Борн был в черных купальниках, Смис – в голубых.",B1,A2
Он решил навестить эту деревню и узнать больше о её мечте.,"Он посетил эту деревню, чтобы узнать больше о ее мечте.",C2,A1
"На следующий день она вернулась к упражнениям, но делала их медленно и с радостью.","На следующий день она вернулась к упражнениям, но делала их медленно и с радостью.",A1,A1
"Им там, наверное, не скучно, потому что они смеются и что-то поют.","Там, наверное, не скучно, потому что они смеются и что-то поют.",C1,A2
— А откуда он приехал в Среднюю Азию? ,Откуда он приехал в Среднюю Азию?,B2,A1
"Гости уехали, свечи почти догорели, слуги убирают посуду, сметают крошки со стола.","Гости уехали, свечи почти догорели, слуги убирают посуду, сметают крошки со стола.",A2,A2
"Дорда сидит, крепко подперев голову, рта у него нет, карандашом чертит на бумаге крест – еще больше – не хватает места, надо снять с бумаги револьвер.","Дорда сидит, крепко подперев голову, рта у него нет, карандашом чертит на бумаге крест.",A2,C1
— А что-нибудь принесли? ,— Что-то принесли?,C2,B2
После завершения печатания «Идиота» Достоевский естественно ожидал более всестороннего и детального анализа романа.,"После завершения печатания «Идиота», Достоевский ожидал более всестороннего и детального анализа романа.",B2,B2
